"code","name","is_reverse"
"EG.USE.COMM.FO.ZS ","Fossil fuel energy consumption (% of total)",
"TX.VAL.FUEL.ZS.UN ","Fuel exports (% of merchandise exports)",
"EG.GDP.PUSE.KO.PP.KD ","GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent)",
"IE.PPI.ENGY.CD ","Investment in energy with private participation (current US$)",
"TX.VAL.MMTL.ZS.UN ","Ores and metals exports (% of merchandise exports)",
"EG.ELC.RNEW.ZS ","Renewable electricity output (% of total electricity output)",
"EG.FEC.RNEW.ZS ","Renewable energy consumption (% of total final energy consumption)",
"IC.ELC.TIME ","Time required to get electricity (days)",
"NY.GDP.TOTL.RT.ZS ","Total natural resources rents (% of GDP)",
"EG.ELC.ACCS.ZS ","Access to electricity (% of population)",
"NY.ADJ.SVNG.GN.ZS ","Adjusted net savings, including particulate emission damage (% of GNI)",
"AG.LND.AGRI.ZS ","Agricultural land (% of land area)",
"ER.H2O.FWTL.ZS ","Annual freshwater withdrawals, total (% of internal resources)",
"ER.H2O.FWTL.K3 ","Annual freshwater withdrawals, total (billion cubic meters)",
"AG.LND.ARBL.ZS ","Arable land (% of land area)",
"EN.BIR.THRD.NO ","Bird species, threatened",
"EN.ATM.CO2E.KT ","CO2 emissions (kt)",
"EN.ATM.CO2E.PC ","CO2 emissions (metric tons per capita)",
"EG.EGY.PRIM.PP.KD ","Energy intensity level of primary energy (MJ/$2011 PPP GDP)",
"EN.FSH.THRD.NO ","Fish species, threatened",
"AG.LND.FRST.ZS ","Forest area (% of land area)",
"AG.LND.FRST.K2 ","Forest area (sq. km)",
"AG.LND.TOTL.K2 ","Land area (sq. km)",
"AG.LND.EL5M.ZS ","Land area where elevation is below 5 meters (% of total land area)",
"EN.MAM.THRD.NO ","Mammal species, threatened",
"EN.ATM.METH.KT.CE ","Methane emissions (kt of CO2 equivalent)",
"EN.ATM.NOXE.KT.CE ","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)",
"EN.ATM.PM25.MC.M3 ","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
"EN.ATM.PM25.MC.ZS ","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",
"EN.HPT.THRD.NO ","Plant species (higher), threatened",
"EN.POP.EL5M.ZS ","Population living in areas where elevation is below 5 meters (% of total population)",
"EN.POP.SLUM.UR.ZS ","Population living in slums (% of urban population)",
"EG.ELC.RNEW.ZS ","Renewable electricity output (% of total electricity output)",
"EG.FEC.RNEW.ZS ","Renewable energy consumption (% of total final energy consumption)",
"ER.H2O.INTR.PC ","Renewable internal freshwater resources per capita (cubic meters)",
"ER.H2O.INTR.K3 ","Renewable internal freshwater resources, total (billion cubic meters)",
"AG.SRF.TOTL.K2 ","Surface area (sq. km)",
"ER.PTD.TOTL.ZS ","Terrestrial and marine protected areas (% of total territorial area)",
"EN.ATM.GHGT.KT.CE ","Total greenhouse gas emissions (kt of CO2 equivalent)",
"NY.GDP.TOTL.RT.ZS ","Total natural resources rents (% of GDP)",
"BN.CAB.XOKA.CD ","Current account balance (BoP, current US$)",
"DT.DOD.DECT.GN.ZS ","External debt stocks (% of GNI)",
"DT.DOD.DPNG.CD ","External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",
"DT.DOD.DPPG.CD ","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",
"DT.DOD.DSTC.CD ","External debt stocks, short-term (DOD, current US$)",
"DT.DOD.DECT.CD ","External debt stocks, total (DOD, current US$)",
"BX.KLT.DINV.CD.WD ","Foreign direct investment, net inflows (BoP, current US$)",
"BX.GRT.EXTA.CD.WD ","Grants, excluding technical cooperation (BoP, current US$)",
"DT.DOD.MWBG.CD ","IBRD loans and IDA credits (DOD, current US$)",
"DT.ODA.ODAT.GN.ZS ","Net ODA received (% of GNI)",
"DT.ODA.ODAT.PC.ZS ","Net ODA received per capita (current US$)",
"DT.NFL.DECT.CD ","Net flows on external debt, total (NFL, current US$)",
"DT.ODA.ODAT.CD ","Net official development assistance received (current US$)",
"BX.TRF.PWKR.CD.DT ","Personal remittances, received (current US$)",
"DT.DOD.DSTC.IR.ZS ","Short-term debt (% of total reserves)",
"BX.GRT.TECH.CD.WD ","Technical cooperation grants (BoP, current US$)",
"DT.TDS.DECT.EX.ZS ","Total debt service (% of exports of goods, services and primary income)",
"FI.RES.TOTL.CD ","Total reserves (includes gold, current US$)",
"DT.DOD.DIMF.CD ","Use of IMF credit (DOD, current US$)",
"FB.ATM.TOTL.P5 ","Automated teller machines (ATMs) (per 100,000 adults)",
"FB.BNK.CAPA.ZS ","Bank capital to assets ratio (%)",
"FB.AST.NPER.ZS ","Bank nonperforming loans to total gross loans (%)",
"FM.LBL.BMNY.GD.ZS ","Broad money (% of GDP)",
"FM.LBL.BMNY.ZG ","Broad money growth (annual %)",
"FB.CBK.BRCH.P5 ","Commercial bank branches (per 100,000 adults)",
"FR.INR.DPST ","Deposit interest rate (%)",
,,
"FS.AST.DOMS.GD.ZS ","Domestic credit provided by financial sector (% of GDP)",
"FS.AST.PRVT.GD.ZS ","Domestic credit to private sector (% of GDP)",
"BX.KLT.DINV.CD.WD ","Foreign direct investment, net inflows (BoP, current US$)",
"FP.CPI.TOTL.ZG ","Inflation, consumer prices (annual %)",
"FR.INR.LNDP ","Interest rate spread (lending rate minus deposit rate, %)",
"SM.POP.TOTL ","International migrant stock, total",
"FR.INR.LEND ","Lending interest rate (%)",
"CM.MKT.LDOM.NO ","Listed domestic companies, total",
"CM.MKT.LCAP.GD.ZS ","Market capitalization of listed domestic companies (% of GDP)",
"CM.MKT.LCAP.CD ","Market capitalization of listed domestic companies (current US$)",
"SM.POP.NETM ","Net migration",
"PA.NUS.FCRF ","Official exchange rate (LCU per US$, period average)",
"BX.TRF.PWKR.CD.DT ","Personal remittances, received (current US$)",
"FR.INR.RINR ","Real interest rate (%)",
"FR.INR.RISK ","Risk premium on lending (lending rate minus treasury bill rate, %)",
"CM.MKT.INDX.ZG ","S&amp;P Global Equity Indices (annual % change)",
"CM.MKT.TRAD.GD.ZS ","Stocks traded, total value (% of GDP)",
"CM.MKT.TRNR ","Stocks traded, turnover ratio of domestic shares (%)",
,,
"FI.RES.TOTL.CD ","Total reserves (includes gold, current US$)",
"SP.ADO.TFRT ","Adolescent fertility rate (births per 1,000 women ages 15-19)",
"SH.STA.BRTC.ZS ","Births attended by skilled health staff (% of total)",
"SL.TLF.0714.FE.ZS ","Children in employment, female (% of female children ages 7-14)",
"SL.TLF.0714.MA.ZS ","Children in employment, male (% of male children ages 7-14)",
"SE.PRM.UNER.FE ","Children out of school, primary, female",
"SE.PRM.UNER.MA ","Children out of school, primary, male",
"SP.DYN.CONU.ZS ","Contraceptive prevalence, any methods (% of women ages 15-49)",
"SL.FAM.WORK.FE.ZS ","Contributing family workers, female (% of female employment) (modeled ILO estimate)",
"SL.FAM.WORK.MA.ZS ","Contributing family workers, male (% of male employment) (modeled ILO estimate)",
"SL.AGR.EMPL.FE.ZS ","Employment in agriculture, female (% of female employment) (modeled ILO estimate)",
"SL.AGR.EMPL.MA.ZS ","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",
"SL.IND.EMPL.FE.ZS ","Employment in industry, female (% of female employment) (modeled ILO estimate)",
"SL.IND.EMPL.MA.ZS ","Employment in industry, male (% of male employment) (modeled ILO estimate)",
"SL.SRV.EMPL.FE.ZS ","Employment in services, female (% of female employment) (modeled ILO estimate)",
"SL.SRV.EMPL.MA.ZS ","Employment in services, male (% of male employment) (modeled ILO estimate)",
"SP.DYN.TFRT.IN ","Fertility rate, total (births per woman)",
"IC.FRM.FEMO.ZS ","Firms with female participation in ownership (% of firms)",
"IC.FRM.FEMM.ZS ","Firms with female top manager (% of firms)",
"SE.PRM.GINT.FE.ZS ","Gross intake ratio to Grade 1 of primary education, female (%)",
"SE.PRM.GINT.MA.ZS ","Gross intake ratio to Grade 1 of primary education, male (%)",
"SL.TLF.CACT.FE.ZS ","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",
"SL.TLF.CACT.MA.ZS ","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",
"SL.TLF.TOTL.FE.ZS ","Labor force, female (% of total labor force)",
"SP.DYN.LE00.FE.IN ","Life expectancy at birth, female (years)",
"SP.DYN.LE00.MA.IN ","Life expectancy at birth, male (years)",
"SE.ADT.LITR.FE.ZS ","Literacy rate, adult female (% of females ages 15 and above)",
"SE.ADT.LITR.MA.ZS ","Literacy rate, adult male (% of males ages 15 and above)",
"SE.ADT.1524.LT.FE.ZS ","Literacy rate, youth female (% of females ages 15-24)",
"SE.ADT.1524.LT.MA.ZS ","Literacy rate, youth male (% of males ages 15-24)",
"SH.STA.MMRT ","Maternal mortality ratio (modeled estimate, per 100,000 live births)",
"SG.NOD.CONS ","Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no)",
"SE.PRM.REPT.FE.ZS ","Percentage of repeaters in primary education, all grades, female (%)",
"SE.PRM.REPT.MA.ZS ","Percentage of repeaters in primary education, all grades, male (%)",
"SE.PRM.PRSL.FE.ZS ","Persistence to last grade of primary, female (% of cohort)",
"SE.PRM.PRSL.MA.ZS ","Persistence to last grade of primary, male (% of cohort)",
"SH.STA.ANVC.ZS ","Pregnant women receiving prenatal care (%)",
"SH.HIV.1524.FE.ZS ","Prevalence of HIV, female (% ages 15-24)",
"SH.HIV.1524.MA.ZS ","Prevalence of HIV, male (% ages 15-24)",
"SE.PRM.CMPT.FE.ZS ","Primary completion rate, female (% of relevant age group)",
"SE.PRM.CMPT.MA.ZS ","Primary completion rate, male (% of relevant age group)",
"SE.SEC.PROG.FE.ZS ","Progression to secondary school, female (%)",
"SE.SEC.PROG.MA.ZS ","Progression to secondary school, male (%)",
"SG.GEN.PARL.ZS ","Proportion of seats held by women in national parliaments (%)",
"SG.TIM.UWRK.FE ","Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",
"SG.TIM.UWRK.MA ","Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",
,,
,,
"SP.MTR.1519.ZS ","Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)",
"SL.UEM.TOTL.FE.ZS ","Unemployment, female (% of female labor force) (modeled ILO estimate)",
"SL.UEM.TOTL.MA.ZS ","Unemployment, male (% of male labor force) (modeled ILO estimate)",
"SL.UEM.1524.FE.ZS ","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",
"SL.UEM.1524.MA.ZS ","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",
"SL.EMP.VULN.FE.ZS ","Vulnerable employment, female (% of female employment) (modeled ILO estimate)",
"SL.EMP.VULN.MA.ZS ","Vulnerable employment, male (% of male employment) (modeled ILO estimate)",
"SL.EMP.WORK.FE.ZS ","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",
"SL.EMP.WORK.MA.ZS ","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",
"SG.DMK.SRCR.FN.ZS ","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive heacare  (% of women age 15-49)</a>",
"SP.ADO.TFRT ","Adolescent fertility rate (births per 1,000 women ages 15-19)",
"SP.POP.DPND ","Age dependency ratio (% of working-age population)",
"SP.DYN.CBRT.IN ","Birth rate, crude (per 1,000 people)",
"SH.STA.BRTC.ZS ","Births attended by skilled health staff (% of total)",
"SH.DTH.COMM.ZS ","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",
"SH.DTH.INJR.ZS ","Cause of death, by injury (% of total)",
"SH.DTH.NCOM.ZS ","Cause of death, by non-communicable diseases (% of total)",
"SP.REG.BRTH.ZS ","Completeness of birth registration (%)",
"SP.REG.DTHS.ZS ","Completeness of death registration with cause-of-death information (%)",
"SP.DYN.CONU.ZS ","Contraceptive prevalence, any methods (% of women ages 15-49)",
"SP.DYN.CDRT.IN ","Death rate, crude (per 1,000 people)",
"SH.STA.DIAB.ZS ","Diabetes prevalence (% of population ages 20 to 79)",
"SP.DYN.TFRT.IN ","Fertility rate, total (births per woman)",
"SH.MED.BEDS.ZS ","Hospital beds (per 1,000 people)",
"SH.IMM.IDPT ","Immunization, DPT (% of children ages 12-23 months)",
"SH.IMM.MEAS ","Immunization, measles (% of children ages 12-23 months)",
"SH.TBS.INCD ","Incidence of tuberculosis (per 100,000 people)",
"SM.POP.TOTL ","International migrant stock, total",
"SP.DYN.LE00.FE.IN ","Life expectancy at birth, female (years)",
"SP.DYN.LE00.MA.IN ","Life expectancy at birth, male (years)",
"SP.DYN.LE00.IN ","Life expectancy at birth, total (years)",
"SH.STA.MMRT ","Maternal mortality ratio (modeled estimate, per 100,000 live births)",
"SH.STA.TRAF.P5 ","Mortality caused by road traffic injury (per 100,000 people)",
"SP.DYN.IMRT.IN ","Mortality rate, infant (per 1,000 live births)",
"SH.DYN.NMRT ","Mortality rate, neonatal (per 1,000 live births)",
"SH.DYN.MORT ","Mortality rate, under-5 (per 1,000 live births)",
"SM.POP.NETM ","Net migration",
"SH.SGR.PROC.P5 ","Number of surgical procedures (per 100,000 population)",
"SP.POP.0014.TO.ZS ","Population ages 0-14 (% of total)",
"SP.POP.1564.TO.ZS ","Population ages 15-64 (% of total)",
"SP.POP.65UP.TO.ZS ","Population ages 65 and above (% of total)",
"SP.POP.GROW ","Population growth (annual %)",
"SP.POP.TOTL.FE.ZS ","Population, female (% of total)",
"SP.POP.TOTL ","Population, total",
"SH.STA.ANVC.ZS ","Pregnant women receiving prenatal care (%)",
"SH.HIV.1524.FE.ZS ","Prevalence of HIV, female (% ages 15-24)",
"SH.HIV.1524.MA.ZS ","Prevalence of HIV, male (% ages 15-24)",
"SH.DYN.AIDS.ZS ","Prevalence of HIV, total (% of population ages 15-49)",
"SH.ANM.CHLD.ZS ","Prevalence of anemia among children (% of children under 5)",
"SH.STA.OWGH.ZS ","Prevalence of overweight, weight for height (% of children under 5)",
"SH.SVR.WAST.ZS ","Prevalence of severe wasting, weight for height (% of children under 5)",
"SH.STA.STNT.ZS ","Prevalence of stunting, height for age (% of children under 5)",
"SN.ITK.DEFC.ZS ","Prevalence of undernourishment (% of population)",
"SH.STA.MALN.ZS ","Prevalence of underweight, weight for age (% of children under 5)",
"SH.STA.WAST.ZS ","Prevalence of wasting, weight for height (% of children under 5)",
"SM.POP.REFG ","Refugee population by country or territory of asylum",
"SM.POP.REFG.OR ","Refugee population by country or territory of origin",
"SH.SGR.CRSK.ZS ","Risk of catastrophic expenditure for surgical care (% of people at risk)",
"SH.SGR.IRSK.ZS ","Risk of impoverishing expenditure for surgical care (% of people at risk)",
"SH.MED.SAOP.P5 ","Specialist surgical workforce (per 100,000 population)",
"SP.MTR.1519.ZS ","Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)",
"SP.UWT.TFRT ","Unmet need for contraception (% of married women ages 15-49)",
"IS.AIR.DPRT ","Air transport, registered carrier departures worldwide",
"ER.H2O.FWTL.ZS ","Annual freshwater withdrawals, total (% of internal resources)",
"ER.H2O.FWTL.K3 ","Annual freshwater withdrawals, total (billion cubic meters)",
"IS.SHP.GOOD.TU ","Container port traffic (TEU: 20 foot equivalent units)",
"EG.USE.ELEC.KH.PC ","Electric power consumption (kWh per capita)",
"IT.NET.BBND.P2 ","Fixed broadband subscriptions (per 100 people)",
"IT.MLT.MAIN.P2 ","Fixed telephone subscriptions (per 100 people)",
"IE.PPI.ENGY.CD ","Investment in energy with private participation (current US$)",
"IE.PPI.TELE.CD ","Investment in telecoms with private participation (current US$)",
"IE.PPI.TRAN.CD ","Investment in transport with private participation (current US$)",
"IE.PPI.WATR.CD ","Investment in water and sanitation with private participation (current US$)",
"IT.CEL.SETS.P2 ","Mobile cellular subscriptions (per 100 people)",
"IS.RRS.TOTL.KM ","Rail lines (total route-km)",
"ER.H2O.INTR.PC ","Renewable internal freshwater resources per capita (cubic meters)",
"ER.H2O.INTR.K3 ","Renewable internal freshwater resources, total (billion cubic meters)",
"IT.NET.SECR.P6 ","Secure Internet servers (per 1 million people)",
"SI.SPR.PC40.ZG ","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
